category,nameEng,nameIta,image,id,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11
Fruits,Apricot,Albicocche,apricot,0,,,,,,x,x,,,,,
Fruits,Cherries,Cillegie,cherry,1,,,,,x,x,x,,,,,
Fruits,Clementine,Mandarino,clementine,2,x,x,x,,,,,,,x,x,x
Fruits,Figs,Ficchi,Figs,3,,,,,,,,,,x,x,
Fruits,Grapes,Uva,Grapes,4,,,,,,,x,x,x,x,x,
Fruits,Melons,Meloni,Melons,5,,,,,x,x,x,x,x,x,,
Fruits,Oranges,Arance,Oranges,6,x,x,x,,,,,,,x,x,x
Fruits,Peach,Pesche,Peach,7,,,,,,x,x,x,x,,,
Fruits,Persimmon,Cachi,Persimmon,8,x,x,x,,,,,,,x,x,x
Fruits,Plum,Susine,Plum,9,,,,,,x,x,x,x,,,
Fruits,Strawberries,Fragole,Strawberries,10,,,,x,x,x,x,x,x,x,,
Fruits,Watermelons,Anguri,Watermelons,11,,,,,,x,x,x,,,,
Veggies,Leeks,Porri,Leeks,12,x,x,,,,,,,,x,x,x
Veggies,Artichokes,Carciofi,artichokes,13,x,x,x,x,x,,,,,,,
Veggies,Cauliflowers,Calvofiori,Cauliflowers,14,x,x,x,,,,,x,x,x,x,x
Fruits,Pears,Pere,Pears,15,x,x,x,x,x,x,x,x,x,x,,
Veggies,Cucumbers,Cetrioli,Cucumbers,16,x,x,,,,,,x,x,x,x,x
Veggies,Pumpkin,Zucche,Pumpkins,18,x,x,x,,,,,,,x,x,x
Fruits,Kiwi,Kiwi,Kiwi,19,x,x,x,,,,,,,x,x,x
Veggies,Turnips,Rape,Turnips,20,x,x,x,x,,,,,,,x,x
Veggies,Garlic,Aglio,Garlic,21,x,,,,,,x,x,x,x,x,x
Fruits,Apples,Mele,apples,22,x,x,x,,,,,x,x,x,x,x
Veggies,Broccoli,Broccoli,broccoli,23,x,x,x,,,,,x,x,x,x,x
Veggies,Celery,Sedano,Celery,24,x,x,x,,,,,,,x,x,x
Veggies,Aubergines,Melanzane,aubergines,25,,x,x,x,x,x,x,x,x,x,,
Veggies,Green beans,Fagiolini,GreenBeans,26,,,,x,x,x,x,x,x,,,
Veggies,Zucchini,Zucchini,Zucchini,27,,,,x,x,x,x,x,x,x,,
Fruits,Raspberries,Lamponi,Raspberries,28,,,,,,x,x,x,x,x,,
Fruits,Blueberries,Mirtili,blueberries,29,,,,,,x,x,x,x,,,
Veggies,Peppers,Pepperoni,Peppers,30,,,,,x,x,x,x,x,,,
Veggies,Tomatoes,Pomodori,Tomatoes,31,,,,,x,x,x,x,x,,,
Veggies,Onions,Cipolle,Onions,32,,,,,,,x,x,x,x,,
Fruits,Lemons,Limoni,Lemons,33,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Spinach,Spinaci,Spinach,34,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Lettuce,Insalata,lettuce,35,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Herbs,Erbe,Herbs,36,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Potatoes,Patate,Potatoes,37,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Fennels,Finocchi,Fennels,38,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Chards,Bietole,Chards,39,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Legumes,Legumi Secchi,Legumes,40,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Endives,Cicoria,Endives,41,x,x,x,x,x,x,x,x,x,x,x,x
Veggies,Carrots,Carote,Carrots,42,x,x,x,x,x,x,x,x,x,x,x,x